index, min, sec, tag_id, distance, times, interval, absence
1,34,42,48110,59,1,327,3
2,34,42,48127,202,1,337,0
3,34,42,52258,491,2,169,0

1,34,43,48110,56,1,328,3
2,34,43,48093,445,2,169,0
3,34,43,52241,569,2,168,0
4,34,43,48127,196,1,338,0

1,34,44,48110,61,1,329,3
2,34,44,48127,202,1,339,0
3,34,44,52258,490,2,170,0

1,34,45,52275,248,4,66,0
2,34,45,48110,57,1,330,3
3,34,45,48093,455,2,170,0
4,34,45,48076,234,4,86,0
5,34,45,52241,568,2,169,0
6,34,45,48127,195,1,340,0

1,34,46,48110,57,1,331,3
2,34,46,48127,201,1,341,0
3,34,46,52258,489,2,171,0

1,34,47,48110,60,1,332,3
2,34,47,48093,457,2,171,0
3,34,47,52241,563,2,170,0
4,34,47,48127,200,1,342,0

1,34,48,48110,60,1,333,3
2,34,48,48127,201,1,343,0
3,34,48,52258,492,2,172,0

1,34,49,52275,257,4,67,0
2,34,49,52326,195,3,83,17
3,34,49,48110,53,1,334,3
4,34,49,48093,465,2,172,0
5,34,49,48076,227,4,87,0
6,34,49,52241,566,2,171,0
7,34,49,48127,200,1,344,0

1,34,50,48110,58,1,335,3
2,34,50,48127,201,1,345,0

1,34,51,48110,60,1,336,3
2,34,51,48093,459,2,173,0
3,34,51,52241,560,2,172,0
4,34,51,48127,202,1,346,0

1,34,52,52326,223,3,84,17
2,34,52,48110,60,1,337,3
3,34,52,48127,215,1,347,0
4,34,52,52258,492,2,173,1

1,34,53,52275,248,4,68,0
2,34,53,48110,57,1,338,3
3,34,53,48093,450,2,174,0
4,34,53,48076,220,4,88,0
5,34,53,52241,576,2,173,0
6,34,53,48127,222,1,348,0

1,34,54,48110,60,1,339,3
2,34,54,48127,240,1,349,0
3,34,54,52258,487,2,174,1

1,34,55,52326,232,3,85,17
2,34,55,48110,58,1,340,3
3,34,55,48093,446,2,175,0
4,34,55,52241,568,2,174,0
5,34,55,48127,242,1,350,0

1,34,56,52326,232,3,85,17
2,34,56,48110,58,1,340,3
3,34,56,48093,446,2,175,0

1,34,57,52275,254,4,69,0
2,34,57,48110,56,1,342,3
