time, tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence,tag_id
0,48110,83,1,41,29,48110,83,1,21,0,BBEE
0,48127,184,2,41,29,48127,184,1,24,0,BBFF
0,52258,490,3,41,29,52258,490,2,351,6,CC22
1,48110,81,1,41,30,48110,81,1,22,0,BBEE
1,48127,183,2,41,30,48127,183,1,25,0,BBFF
1,48093,445,3,41,30,48093,445,2,373,0,BBDD
2,48110,78,1,41,31,48110,78,1,23,0,BBEE
2,48127,183,2,41,31,48127,183,1,26,0,BBFF
2,52258,492,3,41,31,52258,492,2,352,6,CC22
3,48110,78,1,41,32,48110,78,1,24,0,BBEE
3,48127,189,2,41,32,48127,189,1,27,0,BBFF
3,52275,257,3,41,32,52275,257,4,167,1,CC33
3,48093,466,4,41,32,48093,466,2,374,0,BBDD
3,48076,223,5,41,32,48076,223,4,186,0,BBCC
4,48110,83,1,41,33,48110,83,1,25,0,BBEE
4,48127,178,2,41,33,48127,178,1,28,0,BBFF
4,52258,497,3,41,33,52258,497,2,353,6,CC22
5,48110,81,1,41,34,48110,81,1,26,0,BBEE
5,48127,188,2,41,34,48127,188,1,29,0,BBFF
5,48093,450,3,41,34,48093,450,2,375,0,BBDD
6,48110,83,1,41,35,48110,83,1,27,0,BBEE
6,48127,186,2,41,35,48127,186,1,30,0,BBFF
6,52258,495,3,41,35,52258,495,2,354,6,CC22
7,48110,81,1,41,36,48110,81,1,28,0,BBEE
7,48127,186,2,41,36,48127,186,1,31,0,BBFF
7,52275,244,3,41,36,52275,244,4,168,1,CC33
7,48093,460,4,41,36,48093,460,2,376,0,BBDD
7,48076,243,5,41,36,48076,243,4,187,0,BBCC
8,48110,71,1,41,37,48110,71,1,29,0,BBEE
8,48127,205,2,41,37,48127,205,1,32,0,BBFF
9,48110,79,1,41,38,48110,79,1,30,0,BBEE
9,48127,197,2,41,38,48127,197,1,33,0,BBFF
9,52326,238,3,41,38,52326,238,3,83,10,CC66
9,48093,458,4,41,38,48093,458,2,377,0,BBDD
10,48110,74,1,41,39,48110,74,1,31,0,BBEE
10,48127,193,2,41,39,48127,193,1,34,0,BBFF
10,52258,498,3,41,39,52258,498,2,355,6,CC22
11,48110,77,1,41,40,48110,77,1,32,0,BBEE
11,48127,197,2,41,40,48127,197,1,35,0,BBFF
11,52275,251,3,41,40,52275,251,4,169,1,CC33
11,48093,462,4,41,40,48093,462,2,378,0,BBDD
11,48076,200,5,41,40,48076,200,4,188,0,BBCC
12,48110,81,1,41,41,48110,81,1,33,0,BBEE
12,48127,202,2,41,41,48127,202,1,36,0,BBFF
12,52326,235,3,41,41,52326,235,3,84,10,CC66
12,52258,493,4,41,41,52258,493,2,356,6,CC22
13,48110,75,1,41,42,48110,75,1,34,0,BBEE
13,48127,200,2,41,42,48127,200,1,37,0,BBFF
13,48093,460,3,41,42,48093,460,2,379,0,BBDD
14,48110,81,1,41,43,48110,81,1,35,0,BBEE
14,48127,188,2,41,43,48127,188,1,38,0,BBFF
14,52258,498,3,41,43,52258,498,2,357,6,CC22
15,48110,96,1,41,44,48110,96,1,36,0,BBEE
15,48127,202,2,41,44,48127,202,1,39,0,BBFF
15,52326,176,3,41,44,52326,176,3,85,10,CC66
15,52275,240,4,41,44,52275,240,4,170,1,CC33
15,48093,452,5,41,44,48093,452,2,380,0,BBDD
15,48076,247,6,41,44,48076,247,4,189,0,BBCC
16,48110,82,1,41,45,48110,82,1,37,0,BBEE
16,48127,197,2,41,45,48127,197,1,40,0,BBFF
16,52258,494,3,41,45,52258,494,2,358,6,CC22
17,48110,78,1,41,46,48110,78,1,38,0,BBEE
17,48127,195,2,41,46,48127,195,1,41,0,BBFF
17,48093,455,3,41,46,48093,455,2,381,0,BBDD
18,48110,75,1,41,47,48110,75,1,39,0,BBEE
18,48127,198,2,41,47,48127,198,1,42,0,BBFF
18,52326,241,3,41,47,52326,241,3,86,10,CC66
18,52258,487,4,41,47,52258,487,2,359,6,CC22
19,48110,79,1,41,48,48110,79,1,40,0,BBEE
19,48127,193,2,41,48,48127,193,1,43,0,BBFF
19,52275,229,3,41,48,52275,229,4,171,1,CC33
19,48093,453,4,41,48,48093,453,2,382,0,BBDD
19,48076,243,5,41,48,48076,243,4,190,0,BBCC
20,48110,80,1,41,49,48110,80,1,41,0,BBEE
20,48127,201,2,41,49,48127,201,1,44,0,BBFF
20,52258,493,3,41,49,52258,493,2,360,6,CC22
21,48110,81,1,41,50,48110,81,1,42,0,BBEE
21,48127,190,2,41,50,48127,190,1,45,0,BBFF
21,52326,242,3,41,50,52326,242,3,87,10,CC66
21,48093,453,4,41,50,48093,453,2,383,0,BBDD
22,48110,79,1,41,51,48110,79,1,43,0,BBEE
22,48127,196,2,41,51,48127,196,1,46,0,BBFF
22,52258,495,3,41,51,52258,495,2,361,6,CC22
23,48110,77,1,41,52,48110,77,1,44,0,BBEE
23,48127,192,2,41,52,48127,192,1,47,0,BBFF
23,52275,238,3,41,52,52275,238,4,172,1,CC33
23,48093,455,4,41,52,48093,455,2,384,0,BBDD
23,48076,255,5,41,52,48076,255,4,191,0,BBCC
24,48110,81,1,41,53,48110,81,1,45,0,BBEE
24,48127,195,2,41,53,48127,195,1,48,0,BBFF
24,52326,238,3,41,53,52326,238,3,88,10,CC66
24,52258,491,4,41,53,52258,491,2,362,6,CC22
25,48110,79,1,41,54,48110,79,1,46,0,BBEE
25,48127,201,2,41,54,48127,201,1,49,0,BBFF
25,48093,457,3,41,54,48093,457,2,385,0,BBDD
26,48110,76,1,41,55,48110,76,1,47,0,BBEE
