min, sec, tag_id, distance,times, interval,  absence
55,04,0xbbff,325,1,1,0

55,04,0xbbff,320,2,1,0

55,05,0xbbff,318,3,1,0

55,06,0xbbff,318,4,1,0

55,07,0xbbff,318,5,1,0


55,09,0xbbff,319,6,1,1

55,10,0xbbff,319,7,1,1

55,11,0xbbff,316,8,1,1

55,12,0xbbff,323,9,1,1

55,13,0xbbff,315,10,1,1

55,14,0xbbff,326,11,1,1

55,15,0xbbff,321,12,1,1

55,16,0xbbff,320,13,1,1

55,17,0xcc66,213,1,1,0
55,17,0xbbff,324,14,1,1

55,18,0xcc66,220,2,1,0
55,18,0xbbff,323,15,1,1

55,19,0xcc66,216,3,1,0
55,19,0xbbff,318,16,1,1

55,20,0xcc66,208,4,1,0
55,20,0xbbff,318,17,1,1

55,21,0xcc66,212,5,1,0
55,21,0xbbff,318,18,1,1

55,22,0xcc66,213,6,1,0
55,22,0xbbff,318,19,1,1

55,23,0xcc66,212,7,1,0
55,23,0xbbff,318,20,1,1

55,24,0xcc66,211,8,1,0
55,24,0xbbff,319,21,1,1

55,25,0xcc66,212,9,1,0
55,25,0xbbff,319,22,1,1

55,26,0xcc66,211,10,1,0
55,26,0xbbff,307,23,1,1

55,27,0xcc66,215,11,1,0

55,28,0xcc33,328,1,1,0
55,28,0xcc66,203,12,1,0

55,35,0xcc33,326,3,1,0
55,35,0xcc66,208,14,1,0
55,35,0xbbff,319,25,1,2

55,35,0xcc33,323,4,1,0
55,35,0xcc66,208,15,1,0
55,35,0xbbff,316,26,1,2

55,35,0xcc33,330,5,1,0
55,35,0xcc66,209,16,1,0
55,35,0xbbff,310,27,1,2

55,35,0xcc33,331,6,1,0
55,35,0xcc66,211,17,1,0
55,35,0xbbff,313,28,1,2

55,35,0xcc33,329,7,1,0
55,35,0xcc66,212,18,1,0
55,35,0xbbff,313,29,1,2

55,35,0xbbee,226,1,1,0
55,35,0xcc33,316,8,1,0
55,35,0xcc66,204,19,1,0
55,35,0xbbff,317,30,1,2

55,36,0xcc66,208,20,1,0

55,37,0xbbee,227,2,1,1
55,37,0xcc33,325,9,1,1
55,37,0xcc66,201,21,1,0

