 distance,times,  absence,index, time, tag_id, distance,times, interval,  absence,,,
1,52241,283,20,59,1,1,52241, 0xcc11,283,7,2,0
1,48076,326,20,59,2,1,48076, 0xbbcc,326,160,1,0
2,48076,326,21,0,1,2,48076, 0xbbcc,326,161,1,0
3,52241,283,21,1,1,3,52241, 0xcc11,283,8,2,0
3,48076,322,21,1,2,3,48076, 0xbbcc,322,162,1,0
4,48076,330,21,2,1,4,48076, 0xbbcc,330,163,1,0
5,52241,290,21,3,1,5,52241, 0xcc11,290,9,2,0
5,48076,323,21,3,2,5,48076, 0xbbcc,323,164,1,0
6,48076,323,21,4,1,6,48076, 0xbbcc,323,165,1,0
7,52241,281,21,5,1,7,52241, 0xcc11,281,10,2,0
7,48076,322,21,5,2,7,48076, 0xbbcc,322,166,1,0
8,48076,327,21,6,1,8,48076, 0xbbcc,327,167,1,0
9,52241,289,21,7,1,9,52241, 0xcc11,289,11,2,0
9,48076,322,21,7,2,9,48076, 0xbbcc,322,168,1,0
10,48076,326,21,8,1,10,48076, 0xbbcc,326,169,1,0
11,52241,302,21,9,1,11,52241, 0xcc11,302,12,2,0
11,48076,317,21,9,2,11,48076, 0xbbcc,317,170,1,0
12,48076,328,21,10,1,12,48076, 0xbbcc,328,171,1,0
13,52241,289,21,11,1,13,52241, 0xcc11,289,13,2,0
13,48076,321,21,11,2,13,48076, 0xbbcc,321,172,1,0
14,48076,323,21,12,1,14,48076, 0xbbcc,323,173,1,0
15,52241,309,21,13,1,15,52241, 0xcc11,309,14,2,0
15,48076,318,21,13,2,15,48076, 0xbbcc,318,174,1,0
16,48076,329,21,14,1,16,48076, 0xbbcc,329,175,1,0
17,52241,342,21,15,1,17,52241, 0xcc11,342,15,2,0
17,48076,321,21,15,2,17,48076, 0xbbcc,321,176,1,0
18,48076,324,21,16,1,18,48076, 0xbbcc,324,177,1,0
19,52241,345,21,17,1,19,52241, 0xcc11,345,16,2,0
