, tag_id, distance, min, sec, index, id,times,  interval,  absence,,time,time
1,48110,460,58,52,1,  0xbbee,21,1,0,1,21,21
2,52258,812,58,53,1,  0xcc22,5,2,0,2,22,22
2,52241,445,58,53,2,  0xcc11,10,2,0,2,22,22
2,48110,455,58,53,3,  0xbbee,22,1,0,2,22,22
3,48127,1542,58,54,1,  0xbbff,1,1,0,3,23,23
3,48110,476,58,54,2,  0xbbee,23,1,0,3,23,23
4,48127,1537,58,55,1,  0xbbff,2,1,0,4,24,24
4,52258,803,58,55,2,  0xcc22,6,2,0,4,24,24
4,52241,460,58,55,3,  0xcc11,11,2,0,4,24,24
4,48110,488,58,55,4,  0xbbee,24,1,0,4,24,24
5,48127,1534,58,56,1,  0xbbff,3,1,0,5,25,25
5,48110,503,58,56,2,  0xbbee,25,1,0,5,25,25
6,48127,1535,58,57,1,  0xbbff,4,1,0,6,26,26
6,52258,801,58,57,2,  0xcc22,7,2,0,6,26,26
6,52241,475,58,57,3,  0xcc11,12,2,0,6,26,26
6,48110,523,58,57,4,  0xbbee,26,1,0,6,26,26
7,48127,1532,58,58,1,  0xbbff,5,1,0,7,27,27
7,48110,530,58,58,2,  0xbbee,27,1,0,7,27,27
8,48127,1538,58,59,1,  0xbbff,6,1,0,8,28,28
8,52258,812,58,59,2,  0xcc22,8,2,0,8,28,28
8,52241,494,58,59,3,  0xcc11,13,2,0,8,28,28
8,48110,556,58,59,4,  0xbbee,28,1,0,8,28,28
9,48127,1535,59,0,1,  0xbbff,7,1,0,9,29,29
9,48110,561,59,0,2,  0xbbee,29,1,0,9,29,29
10,48127,1536,59,1,1,  0xbbff,8,1,0,10,30,30
10,52258,807,59,1,2,  0xcc22,9,2,0,10,30,30
10,52241,510,59,1,3,  0xcc11,14,2,0,10,30,30
10,48110,576,59,1,4,  0xbbee,30,1,0,10,30,30
11,48076,983,59,2,1,  0xbbcc,1,1,0,11,31,31
11,48127,1531,59,2,2,  0xbbff,9,1,0,11,31,31
11,48110,594,59,2,3,  0xbbee,31,1,0,11,31,31
12,48076,986,59,3,1,  0xbbcc,2,1,0,12,32,32
12,48127,1532,59,3,2,  0xbbff,10,1,0,12,32,32
12,52258,804,59,3,3,  0xcc22,10,2,0,12,32,32
12,52241,526,59,3,4,  0xcc11,15,2,0,12,32,32
12,48110,614,59,3,5,  0xbbee,32,1,0,12,32,32
13,48042,943,59,4,1,  0xbbaa,1,3,0,13,33,33
13,48076,984,59,4,2,  0xbbcc,3,1,0,13,33,33
13,48127,1537,59,4,3,  0xbbff,11,1,0,13,33,33
13,48110,626,59,4,4,  0xbbee,33,1,0,13,33,33
14,48076,987,59,5,1,  0xbbcc,4,1,0,14,34,34
14,48127,1532,59,5,2,  0xbbff,12,1,0,14,34,34
14,52258,800,59,5,3,  0xcc22,11,2,0,14,34,34
14,52241,544,59,5,4,  0xcc11,16,2,0,14,34,34
14,48110,642,59,5,5,  0xbbee,34,1,0,14,34,34
15,48076,992,59,6,1,  0xbbcc,5,1,0,15,35,35
15,48127,1530,59,6,2,  0xbbff,13,1,0,15,35,35
15,48110,649,59,6,3,  0xbbee,35,1,0,15,35,35
16,48042,942,59,7,1,  0xbbaa,2,3,0,16,36,36
16,48076,987,59,7,2,  0xbbcc,6,1,0,16,36,36
16,48127,1524,59,7,3,  0xbbff,14,1,0,16,36,36
16,52258,811,59,7,4,  0xcc22,12,2,0,16,36,36
16,52241,557,59,7,5,  0xcc11,17,2,0,16,36,36
16,48110,671,59,7,6,  0xbbee,36,1,0,16,36,36
17,48093,493,59,8,1,  0xbbdd,1,2,0,17,37,37
17,48076,983,59,8,2,  0xbbcc,7,1,0,17,37,37
17,48127,1526,59,8,3,  0xbbff,15,1,0,17,37,37
17,48110,689,59,8,4,  0xbbee,37,1,0,17,37,37
18,48076,989,59,9,1,  0xbbcc,8,1,0,18,38,38
18,48127,1533,59,9,2,  0xbbff,16,1,0,18,38,38
18,52258,805,59,9,3,  0xcc22,13,2,0,18,38,38
18,52241,579,59,9,4,  0xcc11,18,2,0,18,38,38
18,48110,708,59,9,5,  0xbbee,38,1,0,18,38,38
19,48093,478,59,10,1,  0xbbdd,2,2,0,19,39,39
19,48042,932,59,10,2,  0xbbaa,3,3,0,19,39,39
19,48076,978,59,10,3,  0xbbcc,9,1,0,19,39,39
19,48127,1538,59,10,4,  0xbbff,17,1,0,19,39,39
19,48110,713,59,10,5,  0xbbee,39,1,0,19,39,39
20,52275,217,59,11,1,  0xcc33,1,4,0,20,40,40
20,48076,982,59,11,2,  0xbbcc,10,1,0,20,40,40
20,48127,1530,59,11,3,  0xbbff,18,1,0,20,40,40
20,52258,812,59,11,4,  0xcc22,14,2,0,20,40,40
20,52241,588,59,11,5,  0xcc11,19,2,0,20,40,40
20,48110,732,59,11,6,  0xbbee,40,1,0,20,40,40
