time, tag_id, distance,,time1,, distance, times, interval, absence,,,,index, min, sec
1,48093,280,,51,,280,1,1,0,,,,1,7,51
2,48093,280,,52,,280,1,2,0,,,,1,7,52
3,48093,277,,53,,277,1,3,0,,,,1,7,53
4,48093,274,,54,,274,1,4,0,,,,1,7,54
5,48093,280,,55,,280,1,5,0,,,,1,7,55
6,48093,275,,56,,275,1,6,0,,,,1,7,56
7,48093,277,,57,,277,1,7,0,,,,1,7,57
8,48093,275,,58,,275,1,8,0,,,,2,7,58
9,48110,234,,59,,234,1,2,0,,,,1,7,59
9,48093,278,,59,,278,1,9,0,,,,2,7,59
10,48110,236,,60,,236,1,3,0,,,,1,8,0
10,48093,279,,60,,279,1,10,0,,,,2,8,0
11,48110,236,,61,,236,1,4,0,,,,1,8,1
11,48093,276,,61,,276,1,11,0,,,,2,8,1
12,48110,234,,62,,234,1,5,0,,,,1,8,2
12,48093,276,,62,,276,1,12,0,,,,2,8,2
12,48110,238,,62,,238,1,6,0,,,,1,8,2
12,48093,277,,62,,277,1,13,0,,,,2,8,2
13,48110,231,,63,,231,1,7,0,,,,1,8,3
13,48093,278,,63,,278,1,14,0,,,,2,8,3
14,48110,241,,64,,241,1,8,0,,,,1,8,4
14,48093,278,,64,,278,1,15,0,,,,2,8,4
15,48110,235,,65,,235,1,9,0,,,,1,8,5
15,48093,278,,65,,278,1,16,0,,,,2,8,5
16,48110,234,,66,,234,1,10,0,,,,1,8,6
16,48093,280,,66,,280,1,17,0,,,,2,8,6
17,48110,229,,67,,229,1,11,0,,,,1,8,7
17,48093,277,,67,,277,1,18,0,,,,2,8,7
18,48110,232,,68,,232,1,12,0,,,,1,8,8
18,48093,276,,68,,276,1,19,0,,,,2,8,8
19,48110,233,,69,,233,1,13,0,,,,1,8,9
19,48093,280,,69,,280,1,20,0,,,,2,8,9
20,48110,234,,70,,234,1,14,0,,,,1,8,10
20,48093,278,,70,,278,1,21,0,,,,2,8,10
21,48110,230,,71,,230,1,15,0,,,,1,8,11
21,48093,276,,71,,276,1,22,0,,,,2,8,11
22,52258,374,,72,,374,1,1,0,,,,1,8,12
22,48110,234,,72,,234,1,16,0,,,,2,8,12
22,48093,275,,72,,275,1,23,0,,,,3,8,12
23,52258,380,,73,,380,1,2,0,,,,1,8,13
23,48110,226,,73,,226,1,17,0,,,,2,8,13
23,48093,272,,73,,272,1,24,0,,,,3,8,13
24,48127,401,,74,,401,1,1,0,,,,1,8,14
24,52258,381,,74,,381,1,3,0,,,,2,8,14
24,48110,229,,74,,229,1,18,0,,,,3,8,14
24,48093,277,,74,,277,1,25,0,,,,4,8,14
25,48127,401,,75,,401,1,2,0,,,,1,8,15
25,52258,379,,75,,379,1,4,0,,,,2,8,15
25,48110,234,,75,,234,1,19,0,,,,3,8,15
25,48093,278,,75,,278,1,26,0,,,,4,8,15
26,48127,408,,76,,408,1,3,0,,,,1,8,16
26,52258,392,,76,,392,1,5,0,,,,2,8,16
26,48110,227,,76,,227,1,20,0,,,,3,8,16
26,48093,279,,76,,279,1,27,0,,,,4,8,16
27,48127,404,,77,,404,1,4,0,,,,1,8,17
27,52258,385,,77,,385,1,6,0,,,,2,8,17
27,48110,225,,77,,225,1,21,0,,,,3,8,17
27,48093,278,,77,,278,1,28,0,,,,4,8,17
28,48127,398,,78,,398,1,5,0,,,,1,8,18
28,52258,380,,78,,380,1,7,0,,,,2,8,18
28,48110,222,,78,,222,1,22,0,,,,3,8,18
28,48093,280,,78,,280,1,29,0,,,,4,8,18
29,48127,399,,79,,399,1,6,0,,,,1,8,19
29,52258,379,,79,,379,1,8,0,,,,2,8,19
29,48110,234,,79,,234,1,23,0,,,,3,8,19
29,48093,278,,79,,278,1,30,0,,,,4,8,19
30,48127,398,,80,,398,1,7,0,,,,1,8,20
30,52258,380,,80,,380,1,9,0,,,,2,8,20
30,48110,231,,80,,231,1,24,0,,,,3,8,20
30,48093,278,,80,,278,1,31,0,,,,4,8,20
31,48127,402,,81,,402,1,8,0,,,,1,8,21
31,52258,382,,81,,382,1,10,0,,,,2,8,21
31,48110,230,,81,,230,1,25,0,,,,3,8,21
31,48093,278,,81,,278,1,32,0,,,,4,8,21
32,48127,398,,82,,398,1,9,0,,,,1,8,22
32,52258,375,,82,,375,1,11,0,,,,2,8,22
32,48110,226,,82,,226,1,26,0,,,,3,8,22
32,48093,276,,82,,276,1,33,0,,,,4,8,22
33,48127,399,,83,,399,1,10,0,,,,1,8,23
33,52258,380,,83,,380,1,12,0,,,,2,8,23
33,48110,226,,83,,226,1,27,0,,,,3,8,23
33,48093,281,,83,,281,1,34,0,,,,4,8,23
34,48127,397,,84,,397,1,11,0,,,,1,8,24
34,52258,379,,84,,379,1,13,0,,,,2,8,24
34,48110,225,,84,,225,1,28,0,,,,3,8,24
34,48093,280,,84,,280,1,35,0,,,,4,8,24
35,48127,396,,85,,396,1,12,0,,,,1,8,25
35,52258,382,,85,,382,1,14,0,,,,2,8,25
35,48110,227,,85,,227,1,29,0,,,,3,8,25
35,48093,276,,85,,276,1,36,0,,,,4,8,25
36,48127,403,,86,,403,1,13,0,,,,1,8,26
36,52258,383,,86,,383,1,15,0,,,,2,8,26
36,48110,223,,86,,223,1,30,0,,,,3,8,26
36,48093,277,,86,,277,1,37,0,,,,4,8,26
37,48127,401,,87,,401,1,14,0,,,,1,8,27
37,52258,381,,87,,381,1,16,0,,,,2,8,27
37,48110,226,,87,,226,1,31,0,,,,3,8,27
37,48093,283,,87,,283,1,38,0,,,,4,8,27
38,48127,399,,88,,399,1,15,0,,,,1,8,28
38,52258,378,,88,,378,1,17,0,,,,2,8,28
