time,tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence
0,BBEE,83,1,41,29,48110,83,1,21,0
0,BBFF,184,2,41,29,48127,184,1,24,0
0,CC22,490,3,41,29,52258,490,2,351,6
1,BBEE,81,1,41,30,48110,81,1,22,0
1,BBFF,183,2,41,30,48127,183,1,25,0
1,BBDD,445,3,41,30,48093,445,2,373,0
2,BBEE,78,1,41,31,48110,78,1,23,0
2,BBFF,183,2,41,31,48127,183,1,26,0
2,CC22,492,3,41,31,52258,492,2,352,6
3,BBEE,78,1,41,32,48110,78,1,24,0
3,BBFF,189,2,41,32,48127,189,1,27,0
3,CC33,257,3,41,32,52275,257,4,167,1
3,BBDD,466,4,41,32,48093,466,2,374,0
3,BBCC,223,5,41,32,48076,223,4,186,0
4,BBEE,83,1,41,33,48110,83,1,25,0
4,BBFF,178,2,41,33,48127,178,1,28,0
4,CC22,497,3,41,33,52258,497,2,353,6
5,BBEE,81,1,41,34,48110,81,1,26,0
5,BBFF,188,2,41,34,48127,188,1,29,0
5,BBDD,450,3,41,34,48093,450,2,375,0
6,BBEE,83,1,41,35,48110,83,1,27,0
6,BBFF,186,2,41,35,48127,186,1,30,0
6,CC22,495,3,41,35,52258,495,2,354,6
7,BBEE,81,1,41,36,48110,81,1,28,0
7,BBFF,186,2,41,36,48127,186,1,31,0
7,CC33,244,3,41,36,52275,244,4,168,1
7,BBDD,460,4,41,36,48093,460,2,376,0
7,BBCC,243,5,41,36,48076,243,4,187,0
8,BBEE,71,1,41,37,48110,71,1,29,0
8,BBFF,205,2,41,37,48127,205,1,32,0
9,BBEE,79,1,41,38,48110,79,1,30,0
9,BBFF,197,2,41,38,48127,197,1,33,0
9,CC66,238,3,41,38,52326,238,3,83,10
9,BBDD,458,4,41,38,48093,458,2,377,0
10,BBEE,74,1,41,39,48110,74,1,31,0
10,BBFF,193,2,41,39,48127,193,1,34,0
10,CC22,498,3,41,39,52258,498,2,355,6
11,BBEE,77,1,41,40,48110,77,1,32,0
11,BBFF,197,2,41,40,48127,197,1,35,0
11,CC33,251,3,41,40,52275,251,4,169,1
11,BBDD,462,4,41,40,48093,462,2,378,0
11,BBCC,200,5,41,40,48076,200,4,188,0
12,BBEE,81,1,41,41,48110,81,1,33,0
12,BBFF,202,2,41,41,48127,202,1,36,0
12,CC66,235,3,41,41,52326,235,3,84,10
12,CC22,493,4,41,41,52258,493,2,356,6
13,BBEE,75,1,41,42,48110,75,1,34,0
13,BBFF,200,2,41,42,48127,200,1,37,0
13,BBDD,460,3,41,42,48093,460,2,379,0
14,BBEE,81,1,41,43,48110,81,1,35,0
14,BBFF,188,2,41,43,48127,188,1,38,0
14,CC22,498,3,41,43,52258,498,2,357,6
15,BBEE,96,1,41,44,48110,96,1,36,0
15,BBFF,202,2,41,44,48127,202,1,39,0
15,CC66,176,3,41,44,52326,176,3,85,10
15,CC33,240,4,41,44,52275,240,4,170,1
15,BBDD,452,5,41,44,48093,452,2,380,0
15,BBCC,247,6,41,44,48076,247,4,189,0
16,BBEE,82,1,41,45,48110,82,1,37,0
16,BBFF,197,2,41,45,48127,197,1,40,0
16,CC22,494,3,41,45,52258,494,2,358,6
17,BBEE,78,1,41,46,48110,78,1,38,0
17,BBFF,195,2,41,46,48127,195,1,41,0
17,BBDD,455,3,41,46,48093,455,2,381,0
18,BBEE,75,1,41,47,48110,75,1,39,0
18,BBFF,198,2,41,47,48127,198,1,42,0
18,CC66,241,3,41,47,52326,241,3,86,10
18,CC22,487,4,41,47,52258,487,2,359,6
19,BBEE,79,1,41,48,48110,79,1,40,0
19,BBFF,193,2,41,48,48127,193,1,43,0
19,CC33,229,3,41,48,52275,229,4,171,1
19,BBDD,453,4,41,48,48093,453,2,382,0
19,BBCC,243,5,41,48,48076,243,4,190,0
