index,min,, sec, tag_id, distance,times, interval,  absence
1,8,1,2,0xcc66,204,7,1,0
2,8,1,2,0xbbff,311,10,1,3
,,,,,,,,
1,8,2,2,0xcc66,201,8,1,0
,,,,,,,,
1,8,3,2,0xcc66,209,9,1,0
2,8,3,2,0xbbff,309,11,1,4
,,,,,,,,
1,8,4,2,0xcc66,209,10,1,0
2,8,4,2,0xbbff,308,12,1,4
,,,,,,,,
1,8,5,2,0xcc66,209,11,1,0
,,,,,,,,
1,8,6,2,0xcc33,317,1,1,0
2,8,6,2,0xcc66,198,12,1,0
,,,,,,,,
1,8,7,3,0xcc33,317,2,1,0
2,8,7,3,0xcc66,204,13,1,0
,,,,,,,,
1,8,8,4,0xcc33,325,3,1,0
2,8,8,4,0xcc66,206,14,1,0
3,8,8,4,0xbbff,306,13,1,5
,,,,,,,,
1,8,9,10,0xcc33,322,4,1,0
2,8,9,10,0xcc66,204,15,1,0
3,8,9,10,0xbbff,309,14,1,5
,,,,,,,,
1,8,10,10,0xcc33,317,5,1,0
2,8,10,10,0xcc66,201,16,1,0
,,,,,,,,
1,8,11,10,0xcc33,321,6,1,0
2,8,11,10,0xcc66,211,17,1,0
3,8,11,10,0xbbff,312,15,1,6
,,,,,,,,
1,8,12,10,0xcc33,316,7,1,0
2,8,12,10,0xcc66,196,18,1,0
,,,,,,,,
1,8,,10,0xcc33,316,8,1,0
2,8,,10,0xcc66,208,19,1,0
,,,,,,,,
1,8,,10,0xbbee,222,1,1,2
2,8,,10,0xcc33,312,9,1,0
3,8,,10,0xcc66,194,20,1,0
,,,,,,,,
1,8,,11,0xbbee,224,2,1,2
2,8,,11,0xcc33,313,10,1,0
3,8,,11,0xcc66,196,21,1,0
4,8,,11,0xbbff,313,16,1,6
,,,,,,,,
1,8,,12,0xbbee,225,3,1,2
2,8,,12,0xcc33,310,11,1,0
3,8,,12,0xcc66,196,22,1,0
,,,,,,,,
1,8,,18,0xbbee,220,4,1,2
2,8,,18,0xcc33,312,12,1,0
3,8,,18,0xcc66,199,23,1,0
4,8,,18,0xbbff,317,17,1,6
,,,,,,,,
1,8,,18,0xbbee,220,5,1,2
2,8,,18,0xcc33,313,13,1,0
3,8,,18,0xcc66,196,24,1,0
,,,,,,,,
1,8,,18,0xbbee,222,6,1,2
2,8,,18,0xcc33,309,14,1,0
3,8,,18,0xcc66,197,25,1,0
,,,,,,,,
1,8,,18,0xbbee,224,7,1,2
2,8,,18,0xcc33,309,15,1,0
3,8,,18,0xcc66,196,26,1,0
,,,,,,,,
1,8,,18,0xcc11,309,1,1,0
2,8,,18,0xcc66,200,27,1,0
,,,,,,,,
1,8,,18,0xcc11,312,2,1,0
2,8,,18,0xbbee,215,8,1,2
3,8,,18,0xcc33,300,16,1,1
4,8,,18,0xcc66,205,28,1,0
,,,,,,,,
1,8,,18,0xcc11,314,3,1,0
2,8,,18,0xbbee,214,9,1,2
3,8,,18,0xcc33,303,17,1,1
4,8,,18,0xcc66,199,29,1,0
,,,,,,,,
1,8,,20,0xcc11,308,4,1,0
2,8,,20,0xbbee,216,10,1,2
3,8,,20,0xcc33,302,18,1,1
4,8,,20,0xcc66,204,30,1,0
,,,,,,,,
1,8,,21,0xcc11,314,5,1,0
2,8,,21,0xbbee,218,11,1,2
3,8,,21,0xcc33,302,19,1,1
4,8,,21,0xcc66,204,31,1,0
,,,,,,,,
1,8,,22,0xcc11,311,6,1,0
